Query,PMID,Title,Journal,Publication_Date,Lead_Authors,Summary
metabolic aging extracellular matrix,38179698,Sox9 Accelerates Vascular Aging by Regulating Extracellular Matrix Composition and Stiffness,Circulation research,2024 Feb 2,"Faleeva M, Ahmad S, Theofilatos K, Lynham S, Watson G",doi: 10.1161/CIRCRESAHA.123.323365
metabolic aging extracellular matrix,28774716,Aging and osteoarthritis: Central role of the extracellular matrix,Ageing research reviews,2017 Nov,"Rahmati M, Nalesso G, Mobasheri A, Mozafari M",doi: 10.1016/j.arr.2017.07.004
metabolic aging extracellular matrix,30779010,Extracellular Matrix and Ageing,Sub-cellular biochemistry,2018,Birch HL,doi: 10.1007/978-981-13-2835-0_7
metabolic aging extracellular matrix,39743560,Extracellular matrix in vascular homeostasis and disease,Nature reviews. Cardiology,2025 May,"Zhang L, Zhou J, Kong W",doi: 10.1038/s41569-024-01103-0
metabolic aging extracellular matrix,30888656,Skin Changes During Ageing,Sub-cellular biochemistry,2019,"Bonté F, Girard D, Archambault JC, Desmoulière A",doi: 10.1007/978-981-13-3681-2_10
mechanotransduction aging transition,39024838,Beyond VICs: Shedding light on the overlooked VECs in calcific aortic valve disease,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2024 Sep,"Fan L, Yao D, Fan Z, Zhang T, Shen Q",doi: 10.1016/j.biopha.2024.117143
mechanotransduction aging transition,37857834,A MEC-2/stomatin condensate liquid-to-solid phase transition controls neuronal mechanotransduction during touch sensing,Nature cell biology,2023 Nov,"Sanfeliu-Cerdán N, Català-Castro F, Mateos B, Garcia-Cabau C, Ribera M",doi: 10.1038/s41556-023-01247-0
mechanotransduction aging transition,32846223,Mechanosensing dysregulation in the fibroblast: A hallmark of the aging heart,Ageing research reviews,2020 Nov,"Angelini A, Trial J, Ortiz-Urbina J, Cieslik KA",doi: 10.1016/j.arr.2020.101150
mechanotransduction aging transition,40526468,Piezo1 senses hyphae and initiates host defense against pathogenic fungi,Cell reports,2025 Jun 24,"Shi Y, Yang B, Linghu Y, Liu Y, Li H",doi: 10.1016/j.celrep.2025.115839
mechanotransduction aging transition,28536630,Framework to function: mechanosensitive regulators of gene transcription,Cellular & molecular biology letters,2016,"Finch-Edmondson M, Sudol M",doi: 10.1186/s11658-016-0028-7
mitochondrial dysfunction fibrosis,34039492,"Pathophysiology of decompensated cirrhosis: Portal hypertension, circulatory dysfunction, inflammation, metabolism and mitochondrial dysfunction",Journal of hepatology,2021 Jul,"Engelmann C, Clària J, Szabo G, Bosch J, Bernardi M",doi: 10.1016/j.jhep.2021.01.002
mitochondrial dysfunction fibrosis,31318148,Wnt/β-catenin/RAS signaling mediates age-related renal fibrosis and is associated with mitochondrial dysfunction,Aging cell,2019 Oct,"Miao J, Liu J, Niu J, Zhang Y, Shen W",doi: 10.1111/acel.13004
