Protein_ID,Protein_Name,Gene_Symbol,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Dataset_Name,Organ,Compartment,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Match_Level,Match_Confidence
P01023,Alpha-2-macroglobulin,A2M,A2M,ECM Regulators,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,98.29866666666666,120.17333333333333,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
D3YTG3,Target of Nesh-SH3,ABI3BP,ABI3BP,ECM Glycoproteins,Core matrisome,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,111.32933333333332,113.85733333333333,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
Q8IUX7,Adipocyte enhancer-binding protein 1,AEBP1,AEBP1,ECM Glycoproteins,Core matrisome,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,109.75999999999999,100.30133333333333,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
O00468,Agrin,AGRN,AGRN,ECM Glycoproteins,Core matrisome,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,87.93466666666667,42.67066666666666,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
P01019,Angiotensinogen,AGT,AGT,ECM Regulators,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,367.9493333333333,214.6,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
P02760,Protein AMBP,AMBP,AMBP,ECM Regulators,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,50.276,50.348,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
P04083,Annexin A1,ANXA1,ANXA1,ECM-affiliated Proteins,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,192.88666666666668,195.69733333333335,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
P50995,Annexin A11,ANXA11,ANXA11,ECM-affiliated Proteins,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,105.52266666666667,112.79333333333334,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
P07355,Annexin A2,ANXA2,ANXA2,ECM-affiliated Proteins,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,150.14133333333334,154.19733333333335,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
P09525,Annexin A4,ANXA4,ANXA4,ECM-affiliated Proteins,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,111.79733333333334,160.58133333333333,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
P08758,Annexin A5,ANXA5,ANXA5,ECM-affiliated Proteins,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,187.24399999999997,279.3773333333333,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
P08133,Annexin A6,ANXA6,ANXA6,ECM-affiliated Proteins,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,163.09066666666666,224.09066666666666,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
B4DT77,Annexin,ANXA7,ANXA7,ECM-affiliated Proteins,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,169.47733333333338,192.98533333333336,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
P21810,Biglycan,BGN,BGN,Proteoglycans,Core matrisome,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,137.12533333333334,132.36533333333335,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
E9PHK0,Tetranectin,CLEC3B,CLEC3B,ECM-affiliated Proteins,Matrisome-associated,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,252.50000000000006,224.76800000000003,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
Q99715,Collagen alpha-1(XII) chain,COL12A1,COL12A1,Collagens,Core matrisome,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,194.98933333333335,168.748,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
Q05707,Collagen alpha-1(XIV) chain,COL14A1,COL14A1,Collagens,Core matrisome,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,185.16133333333332,160.48933333333335,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
A6NDR9,Collagen alpha-1(XVI) chain,COL16A1,COL16A1,Collagens,Core matrisome,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,167.99733333333333,138.47466666666668,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
P39060,Collagen alpha-1(XVIII) chain,COL18A1,COL18A1,Collagens,Core matrisome,Ouni_2022,Ovary,Cortex,Ovary_Cortex,Cortex,Homo sapiens,193.32533333333328,228.468,DC-MaP + TMTpro 16-plex,Ouni_2022,1,100.0
