Protein_ID,Protein_Name,Gene_Symbol,Canonical_Gene_Symbol,Matrisome_Category,Matrisome_Division,Dataset_Name,Organ,Compartment,Tissue,Tissue_Compartment,Species,Abundance_Young,Abundance_Old,Method,Study_ID,Match_Level,Match_Confidence
A0A087WR20,,Ctsh,Ctsh,ECM Regulators,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,22.458838959770002,22.8385435845525,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
P11276,,Fn1,Fn1,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,26.928312599414287,27.033647667650737,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
J3QQ16,,Col6a3,Col6a3,Collagens,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,29.452690942537544,29.72536854261652,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q00896,,Serpina1c,Serpina1c,ECM Regulators,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,30.102159860375803,30.569653214943653,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
O08746,,Matn2,Matn2,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,21.85656082206913,21.615416455966,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
P07091,,S100a4,S100a4,Secreted Factors,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,27.688836501506483,28.293721166584167,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
P97429,,Anxa4,Anxa4,ECM-affiliated Proteins,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,28.573713827848966,29.01346888052692,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
A0A0R4IZX5,,Ncan,Ncan,Proteoglycans,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,32.78292040342301,32.87541674512604,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
A0A0R4J0I1,,Serpina3k,Serpina3k,ECM Regulators,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,29.118150571775782,29.038969718365816,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q61072,,Adam9,Adam9,ECM Regulators,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,26.453109470590903,26.472539058575197,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q9R1B9,,Slit2,Slit2,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,23.2802233353341,22.726477226929266,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q5NCU4,,Sparc,Sparc,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,26.502321030993652,26.60978015992505,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
P06797,,Ctsl,Ctsl,ECM Regulators,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,29.377654274758882,29.392724738460533,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q9JI78,,Ngly1,Ngly1,ECM Regulators,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,27.559841312561602,27.62150654949735,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
O88322,,Nid2,Nid2,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,29.073464698396933,29.42653440185205,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q07076,,Anxa7,Anxa7,ECM-affiliated Proteins,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,32.93693835605352,32.985720478655985,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
A0A2R8VHV8,,Nell2,Nell2,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,27.507936064094597,27.475504441908722,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
A2AJ76,,Hmcn2,Hmcn2,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,26.173240594533667,26.0492688883954,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q76KF0,,Sema6d,Sema6d,ECM-affiliated Proteins,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,25.7575389265279,25.832864847127,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
A6H6E2,,Mmrn2,Mmrn2,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,23.780912042876835,23.878351291075933,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q9DC11,,Plxdc2,Plxdc2,ECM-affiliated Proteins,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,25.75023663390267,25.868444569577687,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
E9PZ16,,Hspg2,Hspg2,Proteoglycans,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,31.7634365583162,31.929753318042785,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
B2RXS4,,Plxnb2,Plxnb2,ECM-affiliated Proteins,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,29.273557493332415,29.321088747301783,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q3U0K8,,Ogfod1,Ogfod1,ECM Regulators,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,27.866696755834866,28.01141236999695,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q925T6,,Grip1,Lgals12,ECM-affiliated Proteins,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,28.2927382529306,28.019545370614114,TMT 6-plex LC-MS/MS,Tsumagari_2023,3,80
D3Z1M4,,Cabp1,S100g,Secreted Factors,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,25.785695694102568,25.813941262260567,TMT 6-plex LC-MS/MS,Tsumagari_2023,3,80
Q3UR50,,Vwa5b2,Vwa5b2,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,28.09104308858542,27.84638821845533,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
E9PV24,,Fga,Fga,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,27.7512053538627,27.948325540752702,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q60847,,Col12a1,Col12a1,Collagens,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,27.697344127061996,27.94530984129403,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
E9PYH0,,Vcan,Vcan,Proteoglycans,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,31.315871013278283,31.671744416640703,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
Q80TR4,,Slit1,Slit1,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,26.325987909216735,26.009265507548765,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
O35181,,Nrg3,Nrg3,Secreted Factors,Matrisome-associated,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,24.25829221604212,23.955755935991736,TMT 6-plex LC-MS/MS,Tsumagari_2023,1,100
E9Q557,,Dsp,Dspp,ECM Glycoproteins,Core matrisome,Tsumagari_2023,Brain,Cortex,Brain_Cortex,Cortex,Mus musculus,27.778604541317865,27.820694058222987,TMT 6-plex LC-MS/MS,Tsumagari_2023,3,80
