Gene_Symbol,Master_Regulator_Score,Network_Impact_Pct,Max_Embedding_Shift,Is_Druggable,Therapeutic_Score,Matrisome_Category,Delta_Z_Mean,Recommendation
TIMP2,0.8361172802080915,0.0,0.005829868,True,0.6344469120832366,ECM Regulators,-0.0429757094693455,Medium Priority
LOXL3,0.834280211646691,0.0,0.004867559,True,0.6337120846586763,ECM Regulators,-0.0728237723461504,Medium Priority
COL11A2,0.8276723848388384,0.0,0.008355628,True,0.6310689539355354,Collagens,-0.2675411143499915,Medium Priority
SERPIND1,0.8055286217264207,0.0,0.0,True,0.6222114486905683,ECM Regulators,0.4055790376718129,Medium Priority
HAPLN1,0.904965027727108,0.0,0.006498919,False,0.5119860110908432,Proteoglycans,-0.1308383227958394,Medium Priority
ITIH2,0.8590583827209163,0.0,0.0047698724,False,0.4936233530883666,ECM Regulators,0.2527581452412337,Low Priority
CRLF1,0.837948746626151,0.0,0.0027750244,False,0.4851794986504604,Secreted Factors,0.1393918275626762,Low Priority
DCN,0.8374405450144619,0.0,0.004984051,False,0.4849762180057847,Proteoglycans,-0.0252236900607,Low Priority
PLG,0.8349049634158998,0.0,0.0060997168,False,0.4839619853663599,ECM Regulators,0.2794563812007147,Low Priority
Lamb2,0.8334526616368141,0.0,0.0040157903,False,0.48338106465472563,ECM Glycoproteins,0.2949472985653614,Low Priority
FGB,0.8333015071225773,0.0,0.0064151324,False,0.483320602849031,ECM Glycoproteins,0.5251375515382298,Low Priority
EPYC,0.8272212399280695,0.0,0.0,False,0.48088849597122785,Proteoglycans,0.089792225347008,Low Priority
MATN2,0.8221469326025664,0.0,0.0,False,0.47885877304102664,ECM Glycoproteins,-0.0713048895297757,Low Priority
CRISPLD1,0.8204282483839096,0.0,0.0,False,0.47817129935356384,ECM Glycoproteins,-0.0617623567860545,Low Priority
Fgf1,0.8180910011820236,0.0,0.0,False,0.47723640047280946,Secreted Factors,-0.122390051446875,Low Priority
FGA,0.8092753426767487,0.0,0.0,False,0.47371013707069953,ECM Glycoproteins,0.4396582244237381,Low Priority
ITIH4,0.8088513384505055,0.0,0.0,False,0.47354053538020224,ECM Regulators,0.3786253890248899,Low Priority
Cstb,0.805977396972779,0.0,0.0,False,0.47239095878911164,ECM Regulators,0.1900000118292156,Low Priority
CTSA,0.8054526138906546,0.0,0.0,False,0.47218104555626184,ECM Regulators,0.0146729311816432,Low Priority
BCAN,0.8045815932508721,0.0,0.0,False,0.47183263730034886,Proteoglycans,-0.0560452160034967,Low Priority
