canonical_symbol,degree,betweenness,eigenvector,is_serpin,function_category,pathways
A2M,32,0.0048858264736525185,0.0672430099136973,True,Protease sink,Protease Control;Inflammation
ANXA1,36,0.0075422521615482645,0.07581322727795338,False,,
ANXA5,28,0.005976619993651309,0.031753866782396056,False,,
C1QC,30,0.004141433088544572,0.07770495190781518,False,,
CCN1,26,0.00261435809041216,0.05438959160827577,False,,
CHADL,12,0.0005988400309985752,0.025990331734657677,False,,
COL15A1,44,0.007921130559614228,0.10564747193670243,False,,
CSPG4,28,0.005722758609659916,0.048189394960735515,False,,
CTSB,28,0.00714098755953575,0.040483708149569,False,,
CTSD,26,0.0043030666402266585,0.04402030011002215,False,,
CTSH,25,0.0028918529865882537,0.05281822138355718,False,,
EFEMP2,33,0.0034697844198454553,0.07630104661284812,False,,
EMILIN3,30,0.004415534546890366,0.05176404596071246,False,,
F10,35,0.0059365510218935625,0.07250850118479213,False,,
FGG,65,0.018508324211902877,0.15111373663798316,False,,
ITIH1,47,0.010856918970930406,0.11381647057015797,False,,
ITIH4,41,0.009392876998985401,0.08284747174714636,False,,
LGALS1,30,0.0041451265200284125,0.06387184440106473,False,,
LTBP4,40,0.011423656186133765,0.060875962228234,False,,
MATN4,27,0.006471485890358684,0.04194892344308753,False,,
NELL1,21,0.0015067144638654536,0.042158844048278236,False,,
NGLY1,18,0.0027325285100086244,0.024145285811603044,False,,
NPNT,12,0.0010892069805909792,0.022340381297014163,False,,
PRG4,48,0.005614795374718734,0.1290777465542949,False,,
S100A1,41,0.010188695318665458,0.06447301123055603,False,,
SERPINA1,29,0.0031509740091127843,0.06179406988965171,True,Anti-protease,Inflammation;Protease Control
SERPINA3,30,0.0029422406704857247,0.0658112767223486,True,Inflammation control,Inflammation;ECM Assembly
SERPINA4,40,0.0057384868828559196,0.1014391376557558,True,Kallikrein inhibitor,Coagulation
SERPINA6,31,0.0035880851913249598,0.07780189594759672,True,Hormone transport,Hormone Transport
SERPINF2,44,0.01079230419154708,0.11101544381922533,True,Plasmin inhibitor,Coagulation;Fibrinolysis
SPARCL1,14,0.0010264097291214005,0.020656132992593473,False,,
