canonical_symbol,mean_delta_z,mean_abs_delta_z,std_delta_z,tissue_breadth,study_count,directional_consistency,matrisome_category,function_category,pathways,entropy_metric
SERPINB2,-2.9809275643880704,2.9809275643880704,3.7224040098431663,2,2,1.0,ECM Regulators,Fibrinolysis inhibitor,Fibrinolysis;Inflammation,
SERPINA1E,-0.6049961745559262,1.3702429351867282,1.6189419538036567,8,4,0.75,ECM Regulators,Anti-protease,Inflammation;Protease Control,
SERPINB5,-1.1549398769638561,1.1549398769638561,1.1179188196899472,2,2,1.0,ECM Regulators,Tumor suppressor,ECM Assembly,
SERPINF1,-0.528979645670755,1.1239973693593597,1.4801892584373924,14,9,0.6666666666666666,ECM Regulators,ECM modulator,ECM Assembly,
SERPINH1,-1.020770902834476,1.044396266726398,0.9404940982289658,16,11,0.9090909090909091,ECM Regulators,Collagen chaperone,ECM Assembly,
SERPINA4,0.28121267362553476,0.9912553817861823,1.122668397683668,7,4,0.5,ECM Regulators,Kallikrein inhibitor,Coagulation,
SERPINA3N,0.9177994255056658,0.9177994255056658,0.8565846555277984,6,5,1.0,ECM Regulators,Inflammation control,Inflammation;ECM Assembly,
SERPINA7,0.5552129307653355,0.8978445659532277,1.0112414373218845,4,2,1.0,ECM Regulators,Angiotensin regulation,Protease Control,
SERPINE2,0.47930764347457483,0.8865249427562488,1.2094886358956098,13,8,0.625,ECM Regulators,Protease inhibitor,Fibrinolysis,
SERPIND1,0.5166445894709458,0.8701558465855443,1.4414316817758415,13,8,0.625,ECM Regulators,Heparin cofactor,Coagulation,
SERPINC1,0.46864417929858804,0.857406466886062,1.0109251192162747,16,11,0.7272727272727273,ECM Regulators,Antithrombin,Coagulation,
SERPINB9,-0.560148249865009,0.8506251398197786,1.2466471826535597,7,6,0.6666666666666666,ECM Regulators,Other or Unknown,,
SERPINA6,0.5798981448647194,0.8421419794015966,1.2441138293811285,9,6,0.5,ECM Regulators,Hormone transport,Hormone Transport,
SERPINA1,0.15017941651545452,0.8328405468789695,1.1330717835606616,8,5,0.6,ECM Regulators,Anti-protease,Inflammation;Protease Control,
SERPINB6A,0.6672043002207609,0.81017163698452,0.8653887511588865,10,6,0.6666666666666666,ECM Regulators,Cysteine protease inhibitor,Inflammation,
SERPINB6,0.3307439306238617,0.8075431277275188,1.0974470940988428,6,4,0.5,ECM Regulators,Cysteine protease inhibitor,Inflammation,
PZP,0.2184291756025357,0.7988112323934996,1.0928002455327364,8,5,0.6,ECM Regulators,Protease sink,Protease Control;Inflammation,
SERPINA5,-0.3094081123321229,0.7945618448923951,0.9039156286942223,7,4,0.75,ECM Regulators,Anticoagulant,Coagulation;Fibrinolysis,
SERPINB12,-0.4366909088299417,0.7560650429732498,0.7832009015195348,4,3,0.6666666666666666,ECM Regulators,Inflammation control,Inflammation,
A2M,0.6576001487612801,0.74786507153304,0.7599555214596653,10,7,0.7142857142857143,ECM Regulators,Protease sink,Protease Control;Inflammation,
SERPINA3K,-0.19153338098268996,0.711785323205348,0.9329708272996525,5,4,0.75,ECM Regulators,Inflammation control,Inflammation;ECM Assembly,
SERPINA1A,0.6090629717689509,0.6995413095373414,0.49445108339411586,6,3,1.0,ECM Regulators,Anti-protease,Inflammation;Protease Control,
SERPINA10,0.6899804339713939,0.6899804339713939,0.7739103651908928,5,4,1.0,ECM Regulators,Coagulation regulator,Coagulation,
SERPINA1D,0.055383311793110276,0.6516827689443064,0.8255662187233411,9,5,0.6,ECM Regulators,Anti-protease,Inflammation;Protease Control,
SERPING1,0.32285435879963187,0.6230776224057348,0.8595307730409972,12,8,0.5,ECM Regulators,Complement regulator,Complement,
SERPINA1B,0.4696356323840997,0.5876223844043111,0.4916059215127443,9,5,0.8,ECM Regulators,Anti-protease,Inflammation;Protease Control,
SERPINB8,0.005138584142560516,0.5752666167973733,0.8713380020605566,8,8,0.25,ECM Regulators,Other or Unknown,,
SERPINB3,0.24467044089710907,0.5653407453040004,0.799512549371031,2,2,0.5,ECM Regulators,Barrier protease shield,Inflammation;ECM Assembly,
SERPINI2,-0.5561218359720759,0.5561218359720759,0.010355827835830547,2,1,1.0,ECM Regulators,Other or Unknown,,
SERPINA3,0.14228121566100677,0.5537716438113817,0.7639976950285196,8,5,0.6,ECM Regulators,Inflammation control,Inflammation;ECM Assembly,
SERPINF2,0.35093534870182075,0.5490787017090641,0.6577074167816669,15,10,0.6,ECM Regulators,Plasmin inhibitor,Coagulation;Fibrinolysis,
SERPINB1,0.14749587825110394,0.5489242922492459,0.6634602119628671,8,5,0.6,ECM Regulators,Inflammation control,Inflammation,
SERPINA1C,0.4430383272860534,0.5473884958245148,0.45858065978877866,4,3,0.6666666666666666,ECM Regulators,Anti-protease,Inflammation;Protease Control,
SERPINB1A,0.07959033787904465,0.5161635128184223,0.6512193899640979,10,6,0.3333333333333333,ECM Regulators,Inflammation control,Inflammation,
SERPINA3M,0.5018321976129781,0.5018321976129781,0.2453324138856625,6,3,1.0,ECM Regulators,Inflammation control,Inflammation;ECM Assembly,
SERPINI1,-0.46922775666428224,0.46922775666428224,0.45440528334825536,2,1,1.0,ECM Regulators,Other or Unknown,,
SERPINB9B,0.42920656756861636,0.42920656756861636,0.362110749257431,3,2,1.0,ECM Regulators,Other or Unknown,,
SERPINE1,-0.2165942135241543,0.35764470664157383,0.46098361572669017,4,2,1.0,ECM Regulators,Fibrinolysis inhibitor,Fibrinolysis;Inflammation,
SERPINB7,-0.3520730185045678,0.3520730185045678,,1,1,1.0,ECM Regulators,Other or Unknown,,
SERPINB4,-0.3520730185045678,0.3520730185045678,,1,1,1.0,ECM Regulators,Barrier protease shield,Inflammation;ECM Assembly,
A2ML1,-0.3520730185045678,0.3520730185045678,,1,1,1.0,ECM Regulators,Protease sink,Protease Control,
SERPINA12,-0.3520730185045678,0.3520730185045678,,1,1,1.0,ECM Regulators,Metabolic modulator,Metabolic,
SERPINA3G,-0.2014004879714158,0.2014004879714158,,1,1,1.0,ECM Regulators,Inflammation control,Inflammation;ECM Assembly,
SERPINB6B,-0.200525994565627,0.200525994565627,0.18823498257624946,2,2,1.0,ECM Regulators,Cysteine protease inhibitor,Inflammation,
