Canonical_Gene_Symbol,Heart_Native_Tissue,Intervertebral_disc_IAF,Intervertebral_disc_NP,Intervertebral_disc_OAF,Kidney_Glomerular,Kidney_Tubulointerstitial,Ovary_Cortex,Skin dermis
AGRN,-0.4267303748935089,-0.4946882827019204,-0.3721337015549515,0.1150645568343844,0.09900964684713695,-0.106998133066805,-0.7970277057539259,0.1708022886051357
COL18A1,-0.165657697779137,0.2049826253348003,0.1411519441398789,0.3620873974821116,-0.18722246721325908,0.7376112798220297,0.604497027128243,-1.257860303576913
COL4A1,-0.1213655330408844,,,0.3578485884586602,0.0234047186205038,-0.1014186979392692,-0.144003928356745,0.2699370958006075
COL4A2,-0.0340399903781596,0.504633214853786,,0.0560780341033679,-0.1044425663889627,-0.0377374797680922,-0.8726792783741519,0.2790221071575355
COL4A3,,,,,-0.45327334902919286,-0.17568574273277981,,
COL4A4,,,,,-0.0336760101822348,-0.254031377946361,,
COL4A5,,,,,0.6238165491713068,-0.07592884413213925,,
COL4A6,,,,,-0.0366750430942694,0.15699285584281103,,0.6600624667648474
FRAS1,,,,,-0.5848596971103425,0.1166226570786114,,
FREM1,,,,,-0.7794405823450198,-0.1960359774952509,,
FREM2,,,,,0.6448634735203207,-0.1078783875764848,,
HSPG2,-0.4277716393406674,-0.0970776202912249,-0.2289916682003825,0.0558521670390217,0.0410940165720856,-0.0666795669658004,0.1142144861329593,-0.1166924969609511
LAMA1,,,,,-0.2405347391758598,0.004230327617726,,
LAMA2,-0.5780826588081569,0.1809823149766198,,-0.1279529851207237,-0.2238471547884376,0.1052457379348825,,-0.2433480555650106
LAMA3,,,,,-0.3248133797252135,0.0132587430677613,,-0.6012764571000012
LAMA4,-0.1756392394546119,0.2087965881444065,-0.2124651714189869,-0.1994297694235501,0.0943573143616653,-0.2516652792136206,-0.0307868958506452,-0.593792963275022
LAMA5,-0.3875721264392993,-0.3170776149945479,-0.4302302642069459,-0.2056714055911827,-0.0177115950633694,0.1143575871572027,0.3848068437738596,-0.008175519151652
LAMB1,-0.1686561958215369,0.3261995765468516,-0.3378765811184896,0.0927636934251152,-0.0693854044774621,-0.3572503539537588,-2.201500554755228,-0.4112566932111631
LAMB2,-0.488530329830553,-0.0479378962758483,-0.1677158613045093,-0.4849215067267188,-0.6206816555237713,0.0091655017305924,0.0828588643734035,0.0965585675533653
LAMB3,,,,,,,,-1.1403048842164396
LAMC1,-0.4826047107458234,0.5114892985541168,0.474526449537862,-0.2784740321456154,0.5498533403804434,-0.2142323347419561,-0.2273582362788051,-0.1013805746549781
LAMC2,,,,,,,,-1.4670393055935766
LAMC3,,,,,-0.0812307795689455,0.0891864328755112,,
NID1,-0.7606689839088001,-0.0659814444958208,0.1897868932622017,-0.2095705289560352,0.0438744323185281,-0.4066815813278555,0.1893251767785422,-0.1094340846623317
NID2,-0.36850054722082,-0.3415271954597382,-0.584975480892445,0.0007760386136053,0.0522110178336854,0.7322215832147283,-0.5306108291081524,-1.0185819713819924
SNED1,,-0.3847373642948334,,,,,,
