Dataset_Name,Organ,Compartment,Abundance_Old,Abundance_Old_transformed,Abundance_Young,Abundance_Young_transformed,Canonical_Gene_Symbol,Gene_Symbol,Match_Confidence,Match_Level,Matrisome_Category,Matrisome_Division,Method,N_Profiles_Old,N_Profiles_Young,Protein_ID,Protein_Name,Species,Study_ID,Tissue,Tissue_Compartment,Zscore_Delta,Zscore_Old,Zscore_Young,Data_Quality
Tam_2020,Intervertebral_disc,NP,32.005500000000005,,31.53463333333333,,TIMP1,TIMP1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P01033,Metalloproteinase inhibitor 1,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.30312062219233,0.9787248547636423,0.6756042325713123,Original
Tam_2020,Intervertebral_disc,NP,27.940766666666665,,28.4164,,TIMP2,TIMP2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P16035,Metalloproteinase inhibitor 2,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,-0.0824415603284977,-0.2468763299729203,-0.1644347696444225,Original
Tam_2020,Intervertebral_disc,NP,31.6898,,29.901666666666667,,TIMP3,TIMP3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),3.0,3.0,P35625,Metalloproteinase inhibitor 3,Homo sapiens,Tam_2020,Intervertebral_disc_NP,NP,0.6478449233496578,0.8835347740642928,0.2356898507146349,Original
Tam_2020,Intervertebral_disc,IAF,31.61515,,30.83055,,TIMP1,TIMP1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,P01033,Metalloproteinase inhibitor 1,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,0.3534879901377247,0.8927312987040184,0.5392433085662937,Original
Tam_2020,Intervertebral_disc,IAF,27.8655,,28.36596666666667,,TIMP2,TIMP2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),5.0,6.0,P16035,Metalloproteinase inhibitor 2,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,-0.1004830386727368,-0.220535201410517,-0.1200521627377801,Original
Tam_2020,Intervertebral_disc,IAF,31.231166666666667,,28.333766666666676,,TIMP3,TIMP3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),6.0,6.0,P35625,Metalloproteinase inhibitor 3,Homo sapiens,Tam_2020,Intervertebral_disc_IAF,IAF,0.907393033140784,0.7787271165530676,-0.1286659165877164,Original
Tam_2020,Intervertebral_disc,OAF,30.095175,,29.53171666666667,,TIMP1,TIMP1,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),12.0,12.0,P01033,Metalloproteinase inhibitor 1,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.3705892444748734,0.6897915936625808,0.3192023491877073,Original
Tam_2020,Intervertebral_disc,OAF,27.2472,,27.695285714285717,,TIMP2,TIMP2,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),11.0,7.0,P16035,Metalloproteinase inhibitor 2,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,0.0503728541183171,-0.1577404388295001,-0.2081132929478173,Original
Tam_2020,Intervertebral_disc,OAF,29.34656666666667,,26.54455714285714,,TIMP3,TIMP3,100.0,Level 1: Gene Symbol,ECM Regulators,Matrisome-associated,Label-free LC-MS/MS (MaxQuant LFQ),12.0,7.0,P35625,Metalloproteinase inhibitor 3,Homo sapiens,Tam_2020,Intervertebral_disc_OAF,OAF,1.030801626177056,0.4747790784875035,-0.5560225476895526,Original
Santinha_2024_Human,Heart,Native_Tissue,16.963464152959144,,13.847347841407656,,TIMP3,TIMP3,100.0,1.0,ECM Regulators,Matrisome-associated,TMT-10plex LC-MS/MS,,,P35625,Metalloproteinase inhibitor 3 (Protein MIG-5) (Tissue inhibitor of metalloproteinases 3) (TIMP-3),Homo sapiens,Santinha_2024_Human,Heart_Native_Tissue,Native_Tissue,3.141208179502989,2.0437333307680445,-1.0974748487349448,
